,time,file,y,color,planet,last_value
194,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc2,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
195,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc3,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
196,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc4,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
197,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc5,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
198,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc6,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
199,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc7,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
200,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc0,[0.99999996 0.99999995 0.99999994 ... 0.1208103  0.12080944 0.12080859],orange,c,0.1208085867135051
201,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc1,[0.99999997 0.99999997 0.99999996 ... 0.13961633 0.13961502 0.13961371],orange,c,0.13961370991425656
202,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc2,[0.99999998 0.99999998 0.99999997 ... 0.16658245 0.16658069 0.16657894],orange,c,0.1665789367710132
203,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc3,[0.99999999 0.99999998 0.99999998 ... 0.20215171 0.20214947 0.20214723],orange,c,0.20214722829531923
204,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc4,[0.99999999 0.99999999 0.99999999 ... 0.24723805 0.24723528 0.24723251],orange,c,0.2472325083181533
205,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc5,[0.99999999 0.99999999 0.99999999 ... 0.30265641 0.30265308 0.30264974],orange,c,0.30264974050696963
206,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc6,[0.99999999 0.99999999 0.99999999 ... 0.36862969 0.36862579 0.36862189],orange,c,0.36862189467064777
207,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc1_cvisc7,[1.         1.         1.         ... 0.44433128 0.44432686 0.44432245],orange,c,0.4443224473656234
208,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc0,[0.99999986 0.99999982 0.99999977 ... 0.06053504 0.06053427 0.06053349],orange,c,0.06053349452836796
209,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc1,[0.9999999  0.99999987 0.99999984 ... 0.07461701 0.07461604 0.07461506],orange,c,0.07461506479689198
210,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc2,[0.99999992 0.99999991 0.99999989 ... 0.09249574 0.09249451 0.09249329],orange,c,0.09249329417234341
211,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc3,[0.99999994 0.99999993 0.99999993 ... 0.11504317 0.11504165 0.11504013],orange,c,0.11504013067419369
212,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc4,[0.99999996 0.99999995 0.99999995 ... 0.14327094 0.14326906 0.14326718],orange,c,0.1432671842840819
213,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc5,[0.99999997 0.99999997 0.99999996 ... 0.17828466 0.17828236 0.17828006],orange,c,0.17828006223570864
214,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc6,[0.99999998 0.99999998 0.99999997 ... 0.22117859 0.22117581 0.22117303],orange,c,0.2211730267747762
215,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc2_cvisc7,[0.99999998 0.99999998 0.99999998 ... 0.27284847 0.27284517 0.27284186],orange,c,0.27284186458379206
216,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc0,[0.99999968 0.99999958 0.99999948 ... 0.04475202 0.0447514  0.04475079],orange,c,0.044750789976576416
217,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc1,[0.99999977 0.99999971 0.99999965 ... 0.0556001  0.05559933 0.05559856],orange,c,0.05559856380824337
218,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc2,[0.99999983 0.99999979 0.99999976 ... 0.06923339 0.06923243 0.06923147],orange,c,0.0692314718715909
219,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc3,[0.99999988 0.99999985 0.99999983 ... 0.08630456 0.08630337 0.08630218],orange,c,0.0863021763054624
220,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc4,[0.99999991 0.9999999  0.99999988 ... 0.10757908 0.1075776  0.10757613],orange,c,0.10757612993968524
